"Year","StateAbbr","StateDesc","CountyName","CountyFIPS","LocationName","DataSource","Category","Measure","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","TotalPopulation","TotalPop18plus","Geolocation","LocationID","CategoryID","MeasureId","DataValueTypeID","Short_Question_Text"
"2022","GA","Georgia","DeKalb","13089","13089022403","BRFSS","Prevention","Colorectal cancer screening among adults aged 45–75 years","%","Crude prevalence","74.5",,,"70.9","78.1","4,119","3,202","POINT (-84.3212938 33.7761539)","13089022403","PREVENT","COLON_SCREEN","CrdPrv","Colorectal Cancer Screening"
"2023","GA","Georgia","DeKalb","13089","13089022203","BRFSS","Health-Related Social Needs","Received food stamps in the past 12 months among adults","%","Crude prevalence","8.3",,,"6.6","10.2","2,435","2,114","POINT (-84.2743533 33.7864692)","13089022203","SOCLNEED","FOODSTAMP","CrdPrv","Food Stamps"
"2023","GA","Georgia","DeKalb","13089","13089023424","BRFSS","Health Outcomes","Diagnosed diabetes among adults","%","Crude prevalence","16.7",,,"14.8","18.8","5,366","4,111","POINT (-84.2876394 33.670735)","13089023424","HLTHOUT","DIABETES","CrdPrv","Diabetes"
"2023","GA","Georgia","DeKalb","13089","13089023413","BRFSS","Health Risk Behaviors","Current cigarette smoking among adults","%","Crude prevalence","11.8",,,"9.7","14.1","3,482","2,889","POINT (-84.2382775 33.6919664)","13089023413","RISKBEH","CSMOKING","CrdPrv","Current Cigarette Smoking"
"2023","GA","Georgia","DeKalb","13089","13089021223","BRFSS","Health Outcomes","Chronic obstructive pulmonary disease among adults","%","Crude prevalence","2.5",,,"2.0","3.1","2,405","1,691","POINT (-84.3337899 33.9403169)","13089021223","HLTHOUT","COPD","CrdPrv","COPD"
"2023","GA","Georgia","DeKalb","13089","13089023331","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","12.9",,,"11.4","14.6","3,577","2,685","POINT (-84.1524149 33.737603)","13089023331","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","GA","Georgia","DeKalb","13089","13089023322","BRFSS","Health-Related Social Needs","Housing insecurity in the past 12 months among adults","%","Crude prevalence","26.5",,,"22.3","30.6","3,004","2,334","POINT (-84.1545105 33.7811988)","13089023322","SOCLNEED","HOUSINSECU","CrdPrv","Housing Insecurity"
"2023","GA","Georgia","DeKalb","13089","13089023115","BRFSS","Health Outcomes","Coronary heart disease among adults","%","Crude prevalence","8.6",,,"7.6","9.8","1,395","1,385","POINT (-84.2413121 33.7737809)","13089023115","HLTHOUT","CHD","CrdPrv","Coronary Heart Disease"
"2023","GA","Georgia","DeKalb","13089","13089020200","BRFSS","Disability","Vision disability among adults","%","Crude prevalence","2.4",,,"2.1","2.8","2,202","1,857","POINT (-84.3402721 33.7756062)","13089020200","DISABLT","VISION","CrdPrv","Vision Disability"
"2023","GA","Georgia","DeKalb","13089","13089021421","BRFSS","Health Outcomes","Diagnosed diabetes among adults","%","Crude prevalence","9.1",,,"7.9","10.4","2,517","1,647","POINT (-84.3219217 33.8535545)","13089021421","HLTHOUT","DIABETES","CrdPrv","Diabetes"
"2022","GA","Georgia","DeKalb","13089","13089021820","BRFSS","Health Outcomes","All teeth lost among adults aged >=65 years","%","Crude prevalence","3.7",,,"3.0","4.6","2,367","2,049","POINT (-84.2509865 33.8555465)","13089021820","HLTHOUT","TEETHLOST","CrdPrv","All Teeth Lost"
"2023","GA","Georgia","DeKalb","13089","13089022011","BRFSS","Prevention","Current lack of health insurance among adults aged 18-64 years","%","Crude prevalence","18.9",,,"15.7","22.9","4,744","3,078","POINT (-84.2311428 33.8015697)","13089022011","PREVENT","ACCESS2","CrdPrv","Health Insurance"
"2023","GA","Georgia","DeKalb","13089","13089023319","BRFSS","Health Outcomes","Stroke among adults","%","Crude prevalence","4.4",,,"3.8","5.1","3,296","2,618","POINT (-84.1608847 33.7165726)","13089023319","HLTHOUT","STROKE","CrdPrv","Stroke"
"2023","GA","Georgia","DeKalb","13089","13089020400","BRFSS","Health Outcomes","Chronic obstructive pulmonary disease among adults","%","Crude prevalence","2.7",,,"2.2","3.3","2,555","2,038","POINT (-84.3443392 33.7660727)","13089020400","HLTHOUT","COPD","CrdPrv","COPD"
"2023","GA","Georgia","DeKalb","13089","13089023433","BRFSS","Health-Related Social Needs","Housing insecurity in the past 12 months among adults","%","Crude prevalence","25.5",,,"20.7","30.7","4,186","3,163","POINT (-84.1398552 33.6664598)","13089023433","SOCLNEED","HOUSINSECU","CrdPrv","Housing Insecurity"
"2023","GA","Georgia","DeKalb","13089","13089023112","BRFSS","Health Risk Behaviors","Binge drinking among adults","%","Crude prevalence","12.6",,,"10.6","14.7","3,480","2,783","POINT (-84.2414272 33.7633485)","13089023112","RISKBEH","BINGE","CrdPrv","Binge Drinking"
"2023","GA","Georgia","DeKalb","13089","13089020400","BRFSS","Health Outcomes","Stroke among adults","%","Crude prevalence","1.5",,,"1.4","1.8","2,555","2,038","POINT (-84.3443392 33.7660727)","13089020400","HLTHOUT","STROKE","CrdPrv","Stroke"
"2023","GA","Georgia","DeKalb","13089","13089021824","BRFSS","Health Risk Behaviors","Binge drinking among adults","%","Crude prevalence","14.0",,,"11.8","16.4","2,812","2,028","POINT (-84.2067887 33.8443272)","13089021824","RISKBEH","BINGE","CrdPrv","Binge Drinking"
"2022","GA","Georgia","DeKalb","13089","13089023320","BRFSS","Health Risk Behaviors","Short sleep duration among adults","%","Crude prevalence","45.3",,,"40.7","50.1","3,558","2,643","POINT (-84.1240714 33.7089509)","13089023320","RISKBEH","SLEEP","CrdPrv","Short Sleep Duration"
"2023","GA","Georgia","DeKalb","13089","13089021912","BRFSS","Health Outcomes","Diagnosed diabetes among adults","%","Crude prevalence","12.8",,,"11.0","14.7","3,613","3,081","POINT (-84.1587129 33.8355449)","13089021912","HLTHOUT","DIABETES","CrdPrv","Diabetes"
"2023","GA","Georgia","DeKalb","13089","13089021225","BRFSS","Health-Related Social Needs","Loneliness among adults","%","Crude prevalence","38.1",,,"34.1","42.2","2,131","1,839","POINT (-84.3111749 33.9238397)","13089021225","SOCLNEED","LONELINESS","CrdPrv","Loneliness"
"2023","GA","Georgia","DeKalb","13089","13089023315","BRFSS","Health Status","Frequent physical distress among adults","%","Crude prevalence","13.2",,,"11.5","14.9","6,559","5,016","POINT (-84.0660228 33.7541928)","13089023315","HLTHSTAT","PHLTH","CrdPrv","Frequent Physical Distress"
"2023","GA","Georgia","DeKalb","13089","13089023327","BRFSS","Prevention","Taking medicine to control high blood pressure among adults with high blood pressure","%","Crude prevalence","75.6",,,"72.7","78.4","6,024","4,457","POINT (-84.1532256 33.7251636)","13089023327","PREVENT","BPMED","CrdPrv","High Blood Pressure Medication"
"2023","GA","Georgia","DeKalb","13089","13089023214","BRFSS","Prevention","Current lack of health insurance among adults aged 18-64 years","%","Crude prevalence","14.2",,,"10.5","18.4","6,326","4,728","POINT (-84.1781025 33.7169315)","13089023214","PREVENT","ACCESS2","CrdPrv","Health Insurance"
"2022","GA","Georgia","DeKalb","13089","13089023332","BRFSS","Prevention","Colorectal cancer screening among adults aged 45–75 years","%","Crude prevalence","69.5",,,"65.4","73.4","2,698","2,101","POINT (-84.1597647 33.7474672)","13089023332","PREVENT","COLON_SCREEN","CrdPrv","Colorectal Cancer Screening"
"2023","GA","Georgia","DeKalb","13089","13089023411","BRFSS","Disability","Cognitive disability among adults","%","Crude prevalence","13.1",,,"11.0","15.4","3,856","3,161","POINT (-84.2899992 33.7014158)","13089023411","DISABLT","COGNITION","CrdPrv","Cognitive Disability"
"2023","GA","Georgia","DeKalb","13089","13089023221","BRFSS","Disability","Any disability among adults","%","Crude prevalence","25.2",,,"21.8","29.2","3,064","2,374","POINT (-84.1835484 33.7739008)","13089023221","DISABLT","DISABILITY","CrdPrv","Any Disability"
"2022","GA","Georgia","DeKalb","13089","13089021823","BRFSS","Prevention","Visited dentist or dental clinic in the past year among adults","%","Crude prevalence","67.9",,,"65.1","70.7","3,633","2,940","POINT (-84.1888768 33.8517831)","13089021823","PREVENT","DENTAL","CrdPrv","Dental Visit"
"2023","GA","Georgia","DeKalb","13089","13089021409","BRFSS","Disability","Hearing disability among adults","%","Crude prevalence","4.6",,,"4.0","5.3","3,464","2,608","POINT (-84.2957708 33.8610663)","13089021409","DISABLT","HEARING","CrdPrv","Hearing Disability"
"2023","GA","Georgia","DeKalb","13089","13089023112","BRFSS","Health-Related Social Needs","Utility services shut-off threat in the past 12 months among adults","%","Crude prevalence","19.8",,,"16.6","23.1","3,480","2,783","POINT (-84.2414272 33.7633485)","13089023112","SOCLNEED","SHUTUTILITY","CrdPrv","Utility Services Threat"
"2023","GA","Georgia","DeKalb","13089","13089021213","BRFSS","Disability","Vision disability among adults","%","Crude prevalence","2.3",,,"2.0","2.7","3,529","2,560","POINT (-84.3423464 33.9541116)","13089021213","DISABLT","VISION","CrdPrv","Vision Disability"
"2023","GA","Georgia","DeKalb","13089","13089021913","BRFSS","Disability","Mobility disability among adults","%","Crude prevalence","20.7",,,"18.0","23.4","4,854","3,605","POINT (-84.1835182 33.8265565)","13089021913","DISABLT","MOBILITY","CrdPrv","Mobility Disability"
"2023","GA","Georgia","DeKalb","13089","13089022206","BRFSS","Health Risk Behaviors","No leisure-time physical activity among adults","%","Crude prevalence","20.0",,,"17.1","22.9","4,097","3,449","POINT (-84.2731826 33.7994812)","13089022206","RISKBEH","LPA","CrdPrv","Physical Inactivity"
"2023","GA","Georgia","DeKalb","13089","13089023430","BRFSS","Health Outcomes","Chronic obstructive pulmonary disease among adults","%","Crude prevalence","6.2",,,"5.0","7.6","5,543","3,934","POINT (-84.1575165 33.6955458)","13089023430","HLTHOUT","COPD","CrdPrv","COPD"
"2023","GA","Georgia","DeKalb","13089","13089021915","BRFSS","Health Outcomes","High blood pressure among adults","%","Crude prevalence","41.6",,,"38.3","44.9","4,869","3,963","POINT (-84.1476178 33.80594)","13089021915","HLTHOUT","BPHIGH","CrdPrv","High Blood Pressure"
"2023","GA","Georgia","DeKalb","13089","13089023108","BRFSS","Health Outcomes","Chronic obstructive pulmonary disease among adults","%","Crude prevalence","9.4",,,"8.2","10.7","4,429","3,479","POINT (-84.2322398 33.745283)","13089023108","HLTHOUT","COPD","CrdPrv","COPD"
"2023","GA","Georgia","DeKalb","13089","13089021217","BRFSS","Health Outcomes","Stroke among adults","%","Crude prevalence","2.2",,,"1.9","2.4","2,701","2,028","POINT (-84.2899398 33.9283386)","13089021217","HLTHOUT","STROKE","CrdPrv","Stroke"
"2023","GA","Georgia","DeKalb","13089","13089023315","BRFSS","Health-Related Social Needs","Lack of social and emotional support among adults","%","Crude prevalence","30.2",,,"26.4","34.2","6,559","5,016","POINT (-84.0660228 33.7541928)","13089023315","SOCLNEED","EMOTIONSPT","CrdPrv","Lack of Social/Emotional Support"
"2023","GA","Georgia","DeKalb","13089","13089022203","BRFSS","Disability","Independent living disability among adults","%","Crude prevalence","6.3",,,"5.6","7.3","2,435","2,114","POINT (-84.2743533 33.7864692)","13089022203","DISABLT","INDEPLIVE","CrdPrv","Independent Living Disability"
"2023","GA","Georgia","DeKalb","13089","13089021204","BRFSS","Prevention","Current lack of health insurance among adults aged 18-64 years","%","Crude prevalence","59.0",,,"50.0","66.4","4,205","2,876","POINT (-84.2990892 33.8818233)","13089021204","PREVENT","ACCESS2","CrdPrv","Health Insurance"
"2023","GA","Georgia","DeKalb","13089","13089022010","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","9.8",,,"8.7","11.0","2,485","1,742","POINT (-84.2297644 33.8131969)","13089022010","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","GA","Georgia","DeKalb","13089","13089023329","BRFSS","Health Outcomes","Coronary heart disease among adults","%","Crude prevalence","4.9",,,"4.2","5.6","4,318","3,380","POINT (-84.1389008 33.7596752)","13089023329","HLTHOUT","CHD","CrdPrv","Coronary Heart Disease"
"2023","GA","Georgia","DeKalb","13089","13089023427","BRFSS","Health Risk Behaviors","No leisure-time physical activity among adults","%","Crude prevalence","30.4",,,"25.2","35.7","2,947","2,328","POINT (-84.1551616 33.6801573)","13089023427","RISKBEH","LPA","CrdPrv","Physical Inactivity"
"2023","GA","Georgia","DeKalb","13089","13089022501","BRFSS","Health Risk Behaviors","Current cigarette smoking among adults","%","Crude prevalence","8.9",,,"6.8","11.3","3,960","2,978","POINT (-84.3039713 33.7714257)","13089022501","RISKBEH","CSMOKING","CrdPrv","Current Cigarette Smoking"
"2023","GA","Georgia","DeKalb","13089","13089023439","BRFSS","Health Status","Frequent physical distress among adults","%","Crude prevalence","11.7",,,"9.8","13.8","3,334","2,401","POINT (-84.2597211 33.6886843)","13089023439","HLTHSTAT","PHLTH","CrdPrv","Frequent Physical Distress"
"2023","GA","Georgia","DeKalb","13089","13089021908","BRFSS","Health Outcomes","Chronic obstructive pulmonary disease among adults","%","Crude prevalence","7.2",,,"6.1","8.5","5,528","4,108","POINT (-84.1882975 33.7993171)","13089021908","HLTHOUT","COPD","CrdPrv","COPD"
"2023","GA","Georgia","DeKalb","13089","13089021908","BRFSS","Health Outcomes","Obesity among adults","%","Crude prevalence","38.0",,,"33.6","42.5","5,528","4,108","POINT (-84.1882975 33.7993171)","13089021908","HLTHOUT","OBESITY","CrdPrv","Obesity"
