"Year","StateAbbr","StateDesc","CountyName","CountyFIPS","LocationName","DataSource","Category","Measure","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","TotalPopulation","TotalPop18plus","Geolocation","LocationID","CategoryID","MeasureId","DataValueTypeID","Short_Question_Text"
"2023","IL","Illinois","Cook","17031","17031060500","BRFSS","Health Outcomes","Stroke among adults","%","Crude prevalence","3.8",,,"3.2","4.3","1,374","1,148","POINT (-87.6605008 41.95272)","17031060500","HLTHOUT","STROKE","CrdPrv","Stroke"
"2023","IL","Illinois","Cook","17031","17031161100","BRFSS","Health Outcomes","Obesity among adults","%","Crude prevalence","26.1",,,"23.0","29.4","1,940","1,481","POINT (-87.738155 41.94988)","17031161100","HLTHOUT","OBESITY","CrdPrv","Obesity"
"2023","IL","Illinois","Cook","17031","17031210601","BRFSS","Health Outcomes","Stroke among adults","%","Crude prevalence","2.3",,,"2.0","2.6","2,717","2,249","POINT (-87.712214 41.9376356)","17031210601","HLTHOUT","STROKE","CrdPrv","Stroke"
"2023","IL","Illinois","Cook","17031","17031301803","BRFSS","Health Outcomes","Stroke among adults","%","Crude prevalence","2.6",,,"2.2","2.9","5,107","3,589","POINT (-87.7278708 41.8395497)","17031301803","HLTHOUT","STROKE","CrdPrv","Stroke"
"2023","IL","Illinois","Cook","17031","17031310500","BRFSS","Health Outcomes","Arthritis among adults","%","Crude prevalence","14.6",,,"13.1","16.0","1,399","1,195","POINT (-87.65474 41.855248)","17031310500","HLTHOUT","ARTHRITIS","CrdPrv","Arthritis"
"2023","IL","Illinois","Cook","17031","17031801200","BRFSS","Health Outcomes","Stroke among adults","%","Crude prevalence","2.5",,,"2.3","2.9","3,651","2,701","POINT (-87.68483 42.0788722)","17031801200","HLTHOUT","STROKE","CrdPrv","Stroke"
"2023","IL","Illinois","Cook","17031","17031806201","BRFSS","Health Outcomes","Stroke among adults","%","Crude prevalence","2.7",,,"2.4","3.1","4,908","4,170","POINT (-87.8897882 42.0454459)","17031806201","HLTHOUT","STROKE","CrdPrv","Stroke"
"2023","IL","Illinois","Cook","17031","17031808200","BRFSS","Health Outcomes","Obesity among adults","%","Crude prevalence","26.5",,,"23.5","29.5","5,646","4,473","POINT (-87.7973221 42.02642)","17031808200","HLTHOUT","OBESITY","CrdPrv","Obesity"
"2023","IL","Illinois","Cook","17031","17031809800","BRFSS","Disability","Vision disability among adults","%","Crude prevalence","3.7",,,"3.2","4.3","2,678","2,221","POINT (-87.685499 42.037529)","17031809800","DISABLT","VISION","CrdPrv","Vision Disability"
"2023","IL","Illinois","Cook","17031","17031810302","BRFSS","Health Outcomes","Stroke among adults","%","Crude prevalence","2.8",,,"2.5","3.2","3,360","2,637","POINT (-87.6947173 42.0294129)","17031810302","HLTHOUT","STROKE","CrdPrv","Stroke"
